genotype,slope,SE,df,t,p,adj.r2
ZWf,2.0083637917150257,0.15609036042845842,31,12.866674061115567,5.686250621160336e-14,0.8371926322904695
ZZm,2.2630829715604874,0.11405907977731819,30,19.841322374148458,8.432547473360188e-19,0.9268312383034281
ZZf,2.1288351736063387,0.20214683055313626,24,10.531133076789713,1.77218731914147e-10,0.8146840831948491
