genotype,slope,SE,df,t,p,adj.r2
ZWF,2.1056441534645813,0.15920894589749607,31,13.225664811701373,2.7524600414843375e-14,0.8445984935240206
ZZM,2.422171495187937,0.12829132861822978,30,18.88024328125755,3.3601798002422567e-18,0.9197854569119348
ZZF,2.094955492758769,0.1744507052467918,24,12.008868005406335,1.2308984106387648e-11,0.851378827669216
