genotype,slope,SE,df,t,p,adj.r2
ZWF,2.2064981409843867,0.16203654689548314,31,13.61728686064646,1.2671306214630463e-14,0.8521465330148392
ZZM,2.4326172704994984,0.11270020174474564,30,21.584852847106042,7.911734936455339e-20,0.9374881369159439
ZZF,2.0935691042649633,0.1901304908245558,24,11.01122231992142,7.253165150001057e-11,0.8278794255467565
