response,df1,df2,F,p,mean_ZZf,se_ZZf,meandiff_ZWf,se_ZWf,t_ZWf,p_ZWf,meandiff_ZZm,se_ZZm,t_ZZm,p_ZZm
log(Mass),2,36,0.16075373382783653,0.8521095739639843,5.369699114073544,0.07783553332389102,0.04666927784871946,0.12418255145287577,0.37581187777760633,0.709262293988651,0.06682127208228202,0.12418255145287577,0.5380890576051586,0.5938269897317698
log(SVL),2,36,0.19724738687238624,0.8218688218068277,5.208419624451028,0.02488164770387432,0.0044522109348781366,0.03969737681838803,0.11215378172836471,0.9113245112932922,0.02430937097027634,0.03969737681838803,0.6123671869174016,0.5441437313251849
log(Bite Force),2,36,3.710297722729119,0.03427054941087479,3.8647161516470683,0.08655131383249905,0.02954068006840917,0.1380881266476688,0.2139262859563739,0.8318115937120694,0.3564559630529397,0.1380881266476688,2.581365767691494,0.014060454819918172
log(Bite Force nl),2,36,3.3882802884934997,0.0448476291860984,4.065590315911369,0.09497412693410422,0.04296875937128792,0.15152628755825884,0.2835729698371135,0.7783621398314463,0.3774585659546644,0.15152628755825884,2.4910434488770754,0.017484620573107918
log(HLroret),2,36,3.668524452844058,0.035479459861813736,3.915694675518081,0.026199685310395505,0.03375104391982571,0.04180023737447293,0.8074366568175807,0.4247179748606993,0.11264672528520484,0.04180023737447293,2.6948824303566594,0.01063266079342705
log(HLroqu),2,36,3.1331828799830355,0.0556591652123999,3.7425801546099047,0.025498290535653532,-0.0043004254788531985,0.040681198434497703,-0.10571039311384771,0.9163989758908658,0.0918754048307545,0.040681198434497703,2.258424244278017,0.030075386868248954
log(HWqu),2,36,2.748790940997168,0.0774523829326392,3.6162371771420343,0.029617883770838505,0.011676030235169318,0.04725379551255037,0.2470919025344371,0.8062408368249974,0.10590725517900638,0.04725379551255037,2.2412433547455035,0.031269351402158155
log(HWmt),2,36,1.2575736107881579,0.29653563679738193,3.580438668481696,0.027742211207229837,0.01149105486543827,0.04426125734017318,0.25961880786898833,0.7966368241117338,0.06819471502969571,0.04426125734017318,1.5407315365123995,0.13212718138085322
log(HDmt),2,36,6.830153467729196,0.0030568619303487895,3.151215930142755,0.030999721155912558,0.042089012477913565,0.04945844530222162,0.8509974832553617,0.4003959196493919,0.18011905334979783,0.04945844530222162,3.64182602686274,8.449266374004709e-4
