genotype,slope,SE,df,t,p,adj.r2
ZWF,1.7993638989899656,0.1372606226877326,31,13.109104882057194,3.478283269530356e-14,0.842246901680267
ZZM,2.22191496189393,0.1298641362371454,30,17.109534828279937,5.054403824131613e-17,0.9039463136607785
ZZF,1.7469676995730727,0.18648115567529644,24,9.368065600231034,1.7314557191644873e-9,0.7763076779820195
