response,df1,df2,F,p,mean_ZZf,se_ZZf,meandiff_ZWf,se_ZWf,t_ZWf,p_ZWf,meandiff_ZZm,se_ZZm,t_ZZm,p_ZZm
log(Temp),2,86,0.20143914958693676,0.8179379639666937,3.4049393972793767,0.012625028461721323,-0.004092546186356297,0.016996964740283275,-0.24078100113115192,0.8102979444309844,0.006153429516025779,0.016996964740283275,0.35944155431804153,0.7201458749475915
log(Temp),2,35,1.5826586900750292,0.21977860170826558,3.419718517472528,0.015273322573717189,-0.018495124307557793,0.024367793029367375,-0.7589987441730153,0.45293485764196106,0.03006395410325374,0.024367793029367375,1.1979279376162064,0.2389946528233126
log(Temp),2,48,0.4580532040758907,0.6352498214945193,3.3770232813589804,0.020681363317634163,0.02362633341063778,0.024718957117275217,0.9557981470879352,0.34396343442286714,0.015645905064812973,0.024718957117275217,0.6329516650149694,0.5297693217003114
log(IncTemp),2,76,9.003350964539578,3.0965741351214653e-4,3.486790750116613,0.019580737057115036,-0.11228557632421832,0.02664600809863207,-4.213973661967878,6.8363694893964e-5,-0.04969379898758955,0.02664600809863207,-1.8952673917369065,0.06185966748449466
log(IncTemp),2,30,2.303979517748852,0.11726786011919572,3.4879948585847553,0.022439848684005583,-0.08144657437023649,0.03804861463658128,-2.1405923749962468,0.040553666746762036,-0.033619352504890614,0.03804861463658128,-0.9475440665633234,0.350932245371817
log(IncTemp),2,43,4.839959103261315,0.012711661436852394,3.4845330467388522,0.03524434509054856,-0.12351970891366622,0.04201404792839825,-2.939962108011412,0.005264349419955619,-0.056530071899743746,0.04201404792839825,-1.3455040560739149,0.1855150645284997
