genotype,slope,SE,df,t,p,adj.r2
ZWF,1.8819837785578797,0.15199812596364765,31,12.381624882717178,1.550308076820547e-13,0.8263744151318744
ZZM,2.232798334694204,0.09536576378095288,30,23.412996930667422,7.881240957017676e-21,0.9463824058098097
ZZF,1.8954075435258926,0.14295729259653725,24,13.258557916840429,1.5435286743878286e-12,0.8748682099688263
