genotype,slope,SE,df,t,p,adj.r2
ZWf,1.9705694927978206,0.15826130025412466,31,12.45136675633033,1.3399166798122846e-13,0.8279907752813349
ZZm,2.2999614155169015,0.10601850723494827,30,21.69396151202113,6.861368444967994e-20,0.9380777701205504
ZZf,2.0041807027979086,0.16166809858763498,24,12.396884235707812,6.353899536993538e-12,0.859299782435947
