genotype,slope,SE,df,t,p,adj.r2
ZWf,0.6061851372227217,0.04184518629074416,31,14.486376832233278,2.396854426021733e-15,0.8671400432191998
ZZm,0.7492954995656739,0.039091973128406565,30,19.167502676430292,2.2091080116385302e-18,0.9219916113059556
ZZf,0.6017640367649423,0.057244423318804305,24,10.51218619870816,1.83679911078717e-10,0.81413476652258
