genotype,slope,SE,df,t,p,adj.r2
ZWf,2.0178939050934406,0.15448425456207202,31,13.062133165698434,3.823896502010087e-14,0.8412850536868327
ZZm,2.319168881232156,0.13355678295892004,30,17.364665648958436,3.37257020887191e-17,0.9064945882230587
ZZf,2.102028616915447,0.205254317165376,24,10.241093322396798,3.080484237742764e-10,0.8060210935221859
