response,predictor,df,F_pred,p_pred,F_gen,p_gen,F_int,p_int,slope_ZZf,slope_se_ZZf,slopediff_ZWf,se_ZWf,t_ZWf,p_ZWf,slopediff_ZZm,se_ZZm,t_ZZm,p_ZZm,adj.r2
log(Bite Force),log(Mass),2,740.4700703367263,9.987959250557845e-44,0.8056135766175865,-0.5859199623458169,0.5670404324687957,0.013644495193693066,0.0466613655858663,0.06268482850546878,-0.027611454590917024,0.013644495193693066,0.2898268339795566,0.05939602033760318,-0.027611454590917024,0.013644495193693066,0.2898268339795566,0.05939602033760318,NA
log(Bite Force),log(SVL),2,548.8954894329505,7.603285759985957e-39,-5.2592440642700025,-2.2112283192469944,1.7469676995730667,0.052396199416901,0.16878444851069627,0.22617611672325255,-0.199818938337029,0.052396199416901,1.1173831277730677,0.21304517864848155,-0.199818938337029,0.052396199416901,1.1173831277730677,0.21304517864848155,NA
log(Bite Force),log(HLroret),2,664.743812161649,5.997262494972356e-42,-3.9249289489594728,-1.0068307559648322,1.9825237828482258,-0.044003570711367256,0.1728114876220425,0.2283015739908845,0.1905217804064151,-0.044003570711367256,0.842369374661583,0.2109685898392721,0.1905217804064151,-0.044003570711367256,0.842369374661583,0.2109685898392721,NA
log(Bite Force),log(HLroqu),2,737.185737244765,1.183472065862935e-43,-3.991921784643456,-1.1597218710302992,2.0935691042649434,0.11292903671944259,0.173099245505571,0.23707152888973895,-0.34456306638926887,0.11292903671944259,0.8339617794303451,0.21257773798126384,-0.34456306638926887,0.11292903671944259,0.8339617794303451,0.21257773798126384,NA
log(Bite Force),log(HWqu),2,798.4554511177155,5.557083810683924e-45,-3.0058858145811738,-1.1006330840126617,1.895407543525895,-0.013423764968012833,0.1471043650186875,0.19975019793185703,0.07601449526458447,-0.013423764968012833,0.6735818424641457,0.18287857552684242,0.07601449526458447,-0.013423764968012833,0.6735818424641457,0.18287857552684242,NA
log(Bite Force),log(HWmt),2,692.9536365501616,1.245200449755345e-42,-3.6497566764931375,-1.0149416994053144,2.0949554927587766,0.010688660705805023,0.17559857503889614,0.23722104461268548,0.012667578284516754,0.010688660705805023,0.7957125319995761,0.2169424671452137,0.012667578284516754,0.010688660705805023,0.7957125319995761,0.2169424671452137,NA
log(Bite Force),log(HDmt),2,671.2798690531878,4.144854208405775e-42,-2.466651222055741,-0.5843129775976801,2.0026862309392803,-0.0804884042226835,0.17349193946008915,0.2282318940450365,0.23208719671545464,-0.0804884042226835,0.6696834075258923,0.2089230007228035,0.23208719671545464,-0.0804884042226835,0.6696834075258923,0.2089230007228035,NA
log(Bite Force nl),log(Mass),2,672.6213704673518,3.843709835631692e-42,0.821724198656214,-0.5099169405051392,0.6017640367649424,0.0044211004577793065,0.050875482602679246,0.06834606878817734,0.030024318174642857,0.0044211004577793065,0.31600189717514,0.06476023925603701,0.030024318174642857,0.0044211004577793065,0.31600189717514,0.06476023925603701,NA
log(Bite Force nl),log(SVL),2,510.2214422087779,1.1093041864046936e-37,-5.583359251889541,-2.019475329626505,1.8477164786720628,0.03541247121734958,0.18190203811527286,0.24375407194194326,-0.0988184770284663,0.03541247121734958,1.204223908606477,0.22960262363469647,-0.0988184770284663,0.03541247121734958,1.204223908606477,0.22960262363469647,NA
log(Bite Force nl),log(HLroret),2,585.3427863335584,7.036537996529269e-40,-4.19141035626232,-0.7697997214136031,2.1020286169154523,-0.08413471182201081,0.19081984564698481,0.2520924488838641,0.35331027489104233,-0.08413471182201081,0.9301510927458017,0.23295322726194206,0.35331027489104233,-0.08413471182201081,0.9301510927458017,0.23295322726194206,NA
log(Bite Force nl),log(HLroqu),2,642.0787328587603,2.2150550878009404e-041,-4.215373973616745,-0.9874805628882691,2.2065807033946685,0.09312924978392162,0.19216299628259872,0.2631806695152968,-0.2593025204848411,0.09312924978392162,0.9258075842701762,0.23598933059556376,-0.2593025204848411,0.09312924978392162,0.9258075842701762,0.23598933059556376,NA
log(Bite Force nl),log(HWqu),2,733.1421721988823,1.459748044068416e-43,-3.1982132233612917,-0.9511103481317174,2.00418070279791,-0.03361121000008665,0.15961473130114592,0.21673778453952594,0.1597701994741907,-0.03361121000008665,0.730866040450855,0.1984313292793527,0.1597701994741907,-0.03361121000008665,0.730866040450855,0.1984313292793527,NA
log(Bite Force nl),log(HWmt),2,628.116186555925,5.056293654252568e-41,-3.912133669884387,-0.7826843486530962,2.2249051696408793,-0.024388602279039266,0.19149622600163002,0.25869762759425147,0.14704558316304098,-0.024388602279039266,0.8677516137381405,0.2365831482891525,0.14704558316304098,-0.024388602279039266,0.8677516137381405,0.2365831482891525,NA
log(Bite Force nl),log(HDmt),2,646.7825154896994,1.6833702812400626e-41,-2.6613501135183477,-0.4220040857890671,2.1288351736063444,-0.12047138189131663,0.18412056251476555,0.24221404663615193,0.36323691141062125,-0.12047138189131663,0.7107101694994729,0.2217222340995529,0.36323691141062125,-0.12047138189131663,0.7107101694994729,0.2217222340995529,NA
