genotype,slope,SE,df,t,p,adj.r2
ZWf,2.2997099531785903,0.17318131513293167,31,13.279203656661018,2.4731253228046732e-14,0.845662079352357
ZZm,2.4990908381527,0.12844939893753343,30,19.455839099473245,1.457867401941179e-18,0.9241181194607254
ZZf,2.2065807033946894,0.21437894491527046,24,10.29289841997684,2.788755684674302e-10,0.807609073285962
