genotype,slope,SE,df,t,p,adj.r2
ZWf,1.8831289498894097,0.14323107758258352,31,13.147488531625713,3.2197554840684115e-14,0.8430268001629745
ZZm,2.2863311060892957,0.1411002595635514,30,16.203592489208248,2.2150880337946446e-16,0.8940375292169712
ZZf,1.8477164786720697,0.2047769888987367,24,9.023066940327828,3.517854148856074e-9,0.7628437583497184
