response,predictor,df,F_pred,p_pred,F_gen,p_gen,F_int,p_int,slope_ZZF,slope_se_ZZF,slopediff_ZWF,se_ZWF,t_ZWF,p_ZWF,slopediff_ZZM,se_ZZM,t_ZZM,p_ZZM,adj.r2
log(Bite Force),log(temp),83,14.182726120841442,3.088661516806255e-4,1.7286726401966628,0.18384936880091424,3.4374356071417163,0.03679189601689563,5.4989020536127615,2.4527242314451643,-4.9323103210497266,3.0361737539654103,-1.6245151696630857,0.10805766246513794,1.3717980092275166,2.9834578069330764,0.4598013774619767,0.6468609675403452,0.1815091199490768
log(Bite Force),log(IncTemp),73,4.689189198019036,0.03362094114152162,0.18984408294155136,0.8274951117855196,0.18226872122244947,0.8337554572965624,1.8180849922711315,1.8190309552274346,-1.0492494002657893,2.345705186263993,-0.44730659522347305,0.6559781553809989,0.06268964232357038,2.2171334203268915,0.028275087889987015,0.977519906978628,0.005525894893358085
log(Bite Force),log(HLroret),85,664.743812161649,5.997262494972356e-42,0.2828657639390825,0.754327549066839,1.7099553450024965,0.18703646553567443,1.9825237828482258,0.1728114876220425,-0.044003570711367256,0.2283015739908845,-0.1927431771150391,0.847619886069475,0.2792165171446928,0.2109685898392721,1.3234980494367234,0.18921861481246163,0.8805937601654592
log(Bite Force),log(HLroqu),85,737.185737244765,1.183472065862935e-43,0.5960177887315519,0.5532876808168622,1.444161091184893,0.24167373810121273,2.0935691042649434,0.173099245505571,0.11292903671944259,0.23707152888973895,0.4763500587705133,0.6350472148041553,0.3390481662345552,0.21257773798126384,1.5949373130710338,0.11443796776344511,0.8910762518949793
log(Bite Force),log(HWqu),85,798.4554511177155,5.557083810683924e-45,0.3733302566038942,0.6895610214413344,2.738488581594376,0.07037782513995401,1.895407543525895,0.1471043650186875,-0.013423764968012833,0.19975019793185703,-0.06720276178445755,0.946578110896121,0.337390791168311,0.18287857552684242,1.8448896498474185,0.0685363711385922,0.8988399287635412
log(Bite Force),log(HWmt),85,692.9536365501616,1.245200449755345e-42,0.720949550988922,0.489239606823306,1.7126099106318091,0.18655979142206197,2.0949554927587766,0.17559857503889614,0.010688660705805023,0.23722104461268548,0.04505780978773012,0.9641669172160954,0.32721600242916304,0.2169424671452137,1.5083077404579164,0.13518384863532795,0.8850311525713528
log(Bite Force),log(HDmt),85,671.2798690531878,4.144854208405775e-42,0.39123810895922984,0.6774305142205181,1.101131631811739,0.33718999294783986,2.0026862309392803,0.17349193946008915,-0.0804884042226835,0.2282318940450365,-0.3526606329911143,0.7252158601006136,0.18706651367256893,0.2089230007228035,0.8953849649171299,0.3731099602847632,0.8814642497644044
log(Bite Force nl),log(Mass),85,672.6213704673518,3.843709835631692e-42,1.8144823564005772,0.16917574628243176,3.8156818067491782,0.02588730903034656,0.6017640367649424,0.050875482602679246,0.0044211004577793065,0.06834606878817734,0.06468697521552372,0.9485751245498563,0.14753146280073137,0.06476023925603701,2.2781179392721027,0.025228203359182095,0.8829468822821419
log(Bite Force nl),log(SVL),85,510.2214422087779,1.1093041864046936e-37,1.4199130244497375,0.24740985379011154,2.5691457893730307,0.08253879747953415,1.8477164786720628,0.18190203811527286,0.03541247121734958,0.24375407194194326,0.14527950624670602,0.8848341447900898,0.4386146274172323,0.22960262363469647,1.9103206247114979,0.05946383824148791,0.8507956470916418
log(Bite Force nl),log(HLroret),85,585.3427863335584,7.036537996529269e-40,0.3556940157073443,0.7017249092275069,1.1095797563160725,0.33442497901940244,2.1020286169154523,0.19081984564698481,-0.08413471182201081,0.2520924488838641,-0.33374546597693067,0.7393935927085282,0.2171402643167053,0.23295322726194206,0.9321195798354147,0.3539148244967545,0.8663247221129937
log(Bite Force nl),log(HLroqu),85,642.0787328587603,2.2150550878009404e-041,0.6845904432338392,0.5070552779802842,0.8816921221026796,0.41783401607539655,2.2065807033946685,0.19216299628259872,0.09312924978392162,0.2631806695152968,0.35386052461770445,0.7243196546279165,0.29251013475802923,0.23598933059556376,1.2395057607893734,0.21856963067167076,0.8767480039711708
log(Bite Force nl),log(HWqu),85,733.1421721988823,1.459748044068416e-43,0.5035295671976667,0.6061849918077468,1.9410323842124737,0.14986617040784772,2.00418070279791,0.15961473130114592,-0.03361121000008665,0.21673778453952594,-0.15507775938328397,0.87712767861435,0.2957807127189917,0.1984313292793527,1.4905948258935968,0.13976961816944178,0.8906481437263857
log(Bite Force nl),log(HWmt),85,628.116186555925,5.056293654252568e-41,0.8404995492614039,0.4350490603166473,1.053946980724093,0.3530693414040277,2.2249051696408793,0.19149622600163002,-0.024388602279039266,0.25869762759425147,-0.0942745494260621,0.9251129454604635,0.26105998934865293,0.2365831482891525,1.103459782476074,0.27294176718109275,0.8744603678241194
log(Bite Force nl),log(HDmt),85,646.7825154896994,1.6833702812400626e-41,0.3913154310048007,0.6773786137364197,0.8263734401259368,0.4411183590903057,2.1288351736063444,0.18412056251476555,-0.12047138189131663,0.24221404663615193,-0.497375703698497,0.620208328184426,0.1342477979541408,0.2217222340995529,0.6054773825428069,0.5464751311752358,0.8774205847751433
