genotype,slope,SE,df,t,p,adj.r2
ZWF,0.5806849276624889,0.03943356584144216,31,14.725650984680318,1.535427551082432e-15,0.8708869405477525
ZZM,0.7285462762985573,0.03498000130564489,30,20.827508550749776,2.164785641397052e-19,0.9331586996454636
ZZF,0.5670404324687958,0.052436376348844696,24,10.813875251341411,1.0437744788265282e-10,0.8226194259868858
