genotype,slope,SE,df,t,p,adj.r2
ZWF,1.9385202121368585,0.14359801260952354,31,13.499631205956497,1.5969746073115957e-14,0.8499343763239875
ZZM,2.2617402999929155,0.11699257415988977,30,19.33234067404887,1.7407879745846077e-18,0.9232177976389502
ZZF,1.9825237828482207,0.1874573357949842,24,10.575866633549303,1.6287877351867388e-10,0.8159720846532516
