genotype,slope,SE,df,t,p,adj.r2
ZWF,1.9221978267165964,0.14824943434365298,31,12.965970731873432,4.6457665918214633e-14,0.8392899807401687
ZZM,2.1897527446118503,0.10886816419165155,30,20.113802422138846,5.75824445309362e-19,0.9286643043395755
ZZF,2.002686230939275,0.18663868176422224,24,10.730284912048605,1.219418733803116e-10,0.8203235797888995
