ID,Genotype,Age,BiteForce,BFnolever,Mass,SVL,HLroret,HLroqu,HWqu,HWmt,HDmt,LSR_HLroret,LSR_HLroqu,LSR_HWqu,LSR_HWmt,LSR_HDmt,IncTemp,Temp,Transd
108091,ZZF,Juvenile,13.00555728,14.06185,40.5,114,31.82,27.72,24.03,23.6,13.63,1.367631733,1.191412685,1.032815542,1.014334032,0.585820884,NA,32.1,MEHJ#1
108096,ZWF,Juvenile,8.413505508,10.29337,14.5,76,22.84,20.76,18.05,17.92,11.55,1.28538128,1.16832379,1.015811388,1.008495295,0.650006733,28,26.6,MEHJ#1
108097,ZZM,Juvenile,13.30889647,14.68993,43.4,119,31.94,27.7,22.5,22.26,14.75,1.384433297,1.200651294,0.975258271,0.964855516,0.639335978,36,31.8,MEHJ#1
108099,ZWF,Juvenile,24.15589859,31.21098,47.9,115.5,32.66,28.56,24.05,23.16,16.3,1.344166463,1.175425419,0.989810271,0.953181117,0.670848541,36,28.7,MEHJ#3
108100,ZZF,Juvenile,6.160366759,6.96978,11,70.5,20.71,19.09,15.09,16.14,10.85,1.295323939,1.19399971,0.943816429,1.00948954,0.67862215,28,28.1,MEHJ#1
3380940,ZWF,Adult,77.88830529,109.9192,371.7,212,60.29,47.56,44.39,42.01,28.52,1.391843445,1.097961092,1.024779076,0.96983485,0.658407282,NA,30,AKL#1
5002926,ZZM,Adult,63.203496,81.7213,261.3,201,60.08,46.58,42.85,42.85,27.4,1.409332929,1.092655257,1.005158389,1.005158389,0.642738386,34,26.7,AKL#1
5003461,ZZM,Juvenile,12.94192958,13.7146,46.8,120,35.19,29.04,23.44,23.91,16.13,1.423317473,1.1745706,0.948069382,0.967079306,0.6524044,32,31,AKL#1
5003534,ZZM,Adult,69.36076941,88.909,180.3,172,52.33,44.75,39.75,34.79,27.15,1.348744544,1.153378909,1.024509757,0.896671559,0.699759495,32,33,AKL#1
noID,ZZM,Adult,98.73486772,140.3287,246,185,55.99,46.77,41.8,36.39,30.48,1.352883001,1.130100696,1.010010885,0.879289381,0.736486406,NA,34.1,AKL#1
Tub1h2,ZZM,Juvenile,4.721031662,5.47809,7.6,59,18.31,16.08,13.25,14.37,10.54,1.283485052,1.127167648,0.92879175,1.007300939,0.73882755,NA,26,MEHJ#1
Tub1h3,ZZM,Juvenile,4.473395551,5.21639,6.8,58.5,18.51,15.74,13.55,14.15,9.54,1.324571381,1.126350813,0.969634912,1.012570775,0.682680226,NA,27.1,MEHJ#1
